Content Type,Extracted Data,Extra Info / Link
Link,US May Be Eyeing Strait Of Malacca After Hormuz. Why It Matters To India,https://www.ndtv.com/world-news/us-may-be-eyeing-strait-of-malacca-after-hormuz-why-it-matters-to-india-11357758?pfrom=home-ndtv_topscroll
Link,"'Act Against HR Executive': Mohandas Pai On 'Conversion', Harassment At TCS",https://www.ndtv.com/india-news/act-against-hr-executive-tv-mohandas-pai-on-conversion-and-harassment-at-nashik-tcs-11358006?pfrom=home-ndtv_topscroll
Link,How MS Dhoni's Words Inspired Noor Ahmad's Match-Winning Show Against KKR,https://sports.ndtv.com/ipl-2026/ms-dhoni-the-man-behind-noor-ahmads-match-winning-show-vs-kkr-coach-explains-how-11359157?pfrom=home-ndtv_topscroll
Link,"AP Inter Results 2026: Results At 10:30 am, Here's Direct Link To Download",https://www.ndtv.com/education/andhra-pradesh-inter-1st-and-2nd-year-results-2026-results-at-10-30-am-official-website-direct-link-to-download-11358969?pfrom=home-ndtv_topstories
Link,Live Updates,https://www.ndtv.com/education/ap-inter-1st-2nd-year-result-2026-live-updates-result-direct-link-toppers-list-download-marks-memo-pass-percentage-11358704
Link,"""Used To Say 'Go Marry Hindu Girls'"": Witness On Nashik TCS 'Conversion'",https://www.ndtv.com/india-news/witness-on-nashik-tcs-conversion-sexual-harassment-claim-used-to-say-go-marry-hindu-girls-11355455?pfrom=home-ndtv_topstories
Link,"Rahane's Troubles Soar, Reprimanded By BCCI For Code of Conduct Breach",https://sports.ndtv.com/ipl-2026/winless-kkr-captain-ajinkya-rahanes-troubles-soar-reprimanded-by-bcci-for-code-of-conduct-breach-11358665?pfrom=home-ndtv_topstories
Link,"Limited Edition 4 BHK Luxury Homes in Noida – Starting ₹4.6 Cr* at Aspire Silicon City
Bootes
Enquire Now",https://bop.in/bootes-aspire-silicon-city
Link,"""Try Saying No To Kohli, Rohit"": BCCI Warned Of Catastrophe If Gambhir Is Sacked",https://sports.ndtv.com/cricket/try-saying-no-to-virat-kohli-rohit-sharma-bcci-warned-of-catastrophe-if-gautam-gambhir-is-sacked-11359030?pfrom=home-ndtv_topstories
Link,"Dhurandhar Is Now India's Biggest Franchise, With Rs 3,000 Crore And Counting",https://www.ndtv.com/entertainment/dhurandhar-2-box-office-collection-day-27-beats-pushpa-and-baahubali-as-the-first-indian-franchise-to-hit-rs-3-000-crore-worldwide-11358883?pfrom=home-ndtv_topstories
